,id,text,predicted_label
0,1521300212412678144,I haven’t seen Democrats this mad since the passage of the Emancipation Proclamation. #RoeOverturned #SCOTUS,R
1,1521842639464648708,"Stephen Colbert: “If these folks believe Roe was so egregiously decided, why didn’t they tell the senators during their confirmation hearings? Because Americans support abortion at 80%. They knew if they were honest they wouldn’t get the job, so they lied, which is perjury.”",D
2,1539244666385727489,"@AnupamChander Anupam, the fact that you’re so allergic to disclosing your Google funding makes me assume it’s in the hundreds of thousands of dollars or more and has probably included a junket or two. Am I wrong?",R
3,1356597689480335361,"To everyone asking why this matters: If Psaki doesn’t like your question, she doesn’t call on you. https://t.co/s28NDoX8Rr",D
4,1448979628882804746,"And the big question?   Who is this Chinese man?    He is with President Biden often. This pic is from the inauguration.    He is wearing a CCP official lapel pin?   He is a Chinese communist party official?    Yet none of my sources knows his name, or association with Biden ? https://t.co/3dSR2Gs5W9",R
5,1529532052252643328,"None of Chicago, New York and Los Angeles rank top 25 among cities in gun violence murder rate. 

Texas has the most firearm mortalities of any states in the country, and mortality rates higher than all of the states Abbott mentioned. https://t.co/7Wz7MLPVlX https://t.co/OnRasASOl4",D
6,1541852843518345216,The Beast driver is separated from the passengers for security https://t.co/bwlIs1UjRC,R
7,1354792495872417796,"If true, after Ireland determined that Subway’s bread is not bread but candy, yet another instance of the fast food industry foisting @michaelpollan’s “food-like substances.” Trading corporate profit for the right of eaters to know what they’re eating. https://t.co/lDPnZPmjks",D
8,1412564676685279236,Not surprised to see Bloomberg’s gun control group @momsdemand working with yet another accused sexual predator… https://t.co/dPdOqiwKyl,D
9,1431229078141640704,"“The risk of hospitalization (was) eight times higher” among people with only vaccine-induced immunity, compared to people with natural immunity from having had Covid, with the Delta variant predominate.

https://t.co/YdhZIpJGDw",R
10,1458653268389806083,"I couldn’t believe this but yes the judge in the Rittenhouse trial was flipping through a COOKIE CATALOGUE in court today

This is on top of his Trump song ringtone, yelling at the prosecutor, coddling the defendant, banning the word victim

There isn’t even a pretense of justice",D
11,1536013429818855424,"Well, unless you count the cop the Trumpers killed. Or that the riot was planned as part of coup organized within all three branches of govt. Glem is just reminding us that Mussolini got the trains to run on time. https://t.co/aRtMvVFjy9",D
12,1540350661929455617,"The treatment for ectopic pregnancy is abortion. An ectopic pregnancy will not result in a baby. Untreated, it will result in the death of the pregnant person.   

Stop telling us we’re overreacting when we say women will die.",R
13,1540543100187279362,"@kygirl1334 So in a red state (like Kentucky) a doctor could be intimidated out of providing life saving care under the duress of being criminally prosecuted?

(Yes).",R
14,1432433806217080838,"To be clear, we do *not* have an internal Twitter instance. Bug tracking &amp; performance reviews are done via subtweets on production Twitter. https://t.co/Ur8mIwcymT",R
15,1375155888143601665,Trump won.,D
16,1389313358483046402,@Liz_Cheney  Trump won it you fool AND YOU KNOW IT !! STOP LYING LIZZIE BORDEN ! https://t.co/8xYCrImK86,D
17,1394673945010376714,@SeanFulce2040 Me and thousands more...I am retweeting for them n case they did see your tweet...Yep.you can definitely count me in. Because Trump won....let the audit show that he won AGAIN... https://t.co/HMmSxEcEeI,R
18,1398829296085475328,"It’s happening. America, even New York, is waking up!!! This happened at @Mets Citi Field tonight! Trump Won!!!! https://t.co/cjQZENvH3B",R
19,1373639730206814216,"Today’s center of the #COVIDIOTS universe is Miami Beach, Florida. https://t.co/Wo8JeNfDFa",R
